,primary_sector,count,sum,category_list,main_sector,value
148,Customer Service,74,670062729.0,Customer Service,"Social, Finance, Analytics, Advertising",1
149,Customer Support Tools,9,61447890.0,Customer Support Tools,"Social, Finance, Analytics, Advertising",1
150,Cyber,24,322337996.0,Cyber,"Social, Finance, Analytics, Advertising",1
151,Cyber Security,60,966594289.0,Cyber Security,"Social, Finance, Analytics, Advertising",1
152,DIY,3,11700000.0,DIY,Others,1
153,DOD/Military,3,7800000.0,DOD/Military,Manufacturing,1
154,Data Center Automation,8,65750002.0,Data Center Automation,"Social, Finance, Analytics, Advertising",1
155,Data Center Infrastructure,7,152723823.0,Data Center Infrastructure,"Social, Finance, Analytics, Advertising",1
156,Data Centers,42,539169860.0,Data Centers,"Social, Finance, Analytics, Advertising",1
157,Data Integration,24,275474069.0,Data Integration,"Social, Finance, Analytics, Advertising",1
158,Data Mining,6,61562275.0,Data Mining,"Social, Finance, Analytics, Advertising",1
159,Data Privacy,6,200000000.0,Data Privacy,"Social, Finance, Analytics, Advertising",1
160,Data Security,62,642573462.0,Data Security,"Social, Finance, Analytics, Advertising",1
161,Data Visualization,6,174800000.0,Data Visualization,"Social, Finance, Analytics, Advertising",1
162,Databases,63,759964434.0,Databases,"Social, Finance, Analytics, Advertising",1
163,Debt Collecting,1,4000000.0,Debt Collecting,"Social, Finance, Analytics, Advertising",1
164,Defense,5,63855000.0,Defense,Manufacturing,1
165,Delivery,37,519555661.0,Delivery,"News, Search and Messaging",1
166,Demographies,3,18954964.0,Demographies,"News, Search and Messaging",1
167,Dental,13,337918158.0,Dental,Health,1
168,Design,110,1333295937.0,Design,Automotive & Sports,1
169,Designers,6,34070146.0,Designers,Automotive & Sports,1
170,Developer APIs,37,220994076.0,Developer APIs,"Social, Finance, Analytics, Advertising",1
171,Developer Tools,13,65204796.0,Developer Tools,"Social, Finance, Analytics, Advertising",1
172,Development Platforms,19,284748957.0,Development Platforms,"Social, Finance, Analytics, Advertising",1
173,Diabetes,5,6551669.0,Diabetes,Health,1
174,Diagnostics,42,368405702.0,Diagnostics,Health,1
175,Dietary Supplements,3,16477000.0,Dietary Supplements,Health,1
176,Digital Entertainment,10,144278414.0,Digital Entertainment,Entertainment,1
177,Digital Media,106,993412068.0,Digital Media,Entertainment,1
178,Direct Marketing,5,3155683.0,Direct Marketing,"News, Search and Messaging",1
